#British English to Estonian (no proper nouns)
aargh,aah
germicidal,bakteritsiidne
germicide,desinfektsioonivahend
germinal,tärkav
germinate,tärkama
germinating,idandamine
germination,idanemine
germling,viljastunud eos
germy,pisikuid täis
geront,vanur
gerontocracy,gerontokraatia
gerontological,gerontoloogiline
gerontologist,gerontoloog
gerontology,gerontoloogia
gerund,gerundium
gest,rännak
gestate,kandma
gestation,tiinus
gesticulate,žestikuleerima
gesticulation,žestikuleerimine
gesture,žest
get,saama
getable,saavutatav
get-at-able,kättesaadav
getatable,ligipääsetav
getaway,põgenemine
gettable,kättesaadav
getter,saaja
getting-up,tõusmine
get-tough,karmikäeline
getup,kostüüm
get-up,kostüüm
get-up-and-go,särts
gewgaw,odavad kaunistused
geyser,geiser
gharnao,pottidest parv
ghastful,tontlik
ghastliness,võikus
ghastly,jube
gherkins,äädikakurgid
ghettoize,getosse saatma
ghost,kummitus
ghostlike,tontlik
ghostliness,kummituslikkus
ghostly,tontlik
ghostwrite,teiste eest kirjutama
ghostwriter,variautor
ghoul,laibaröövel
ghoulish,laibalik
giant,hiiglane
giantism,hiiglasekasv
giaour,gjaur
gibber,latrama
gibberellin,giberelliin
gibberish,loba
gibbet,võllas
gibbon,gibon
gibbosity,kumerus
gibbous,kaksikkumer
gibbsite,gibsiit
gibe,mõnitus
gibingly,mõnitavalt
giblets,rupskid
giddily,uimaselt
giddiness,peapööritus
giddy,peadpööritav
gift,kingitus
gifted,andekas
giftedly,andekalt
giftless,andetu
gift-wrap,kingitust pakkima
gift-wrapped,kaunis pakendis
gigabyte,gigabait
gigahertz,gigaherts
gigantic,hiiglaslik
gigantism,hiiglasekasv
giggle,itsitama
giggler,itsitaja
giggly,itsitav
giglet,plikatirts
gigolo,gigolo
gigot,lambakints
gilbert,gilbert
gild,kuldama
gilded,kuldne
gilder,kuldaja
gilding,kullatis
gilim,gilim
gill,lõpus
gilled,lõpustega
gilt,kullatis
gilt-edged,esmaklassiline
gimbals,kardaanriputi
gimcrack,labane
gimcrackery,labased ehted
gimlet,tigupuur
gimlet-eyed,puuriva pilguga
gimmick,trikk
gimp,käimisvõimetus
ginger,ingver
gingerbread,piparkook
ginger-haired,šatään
gingerly,ettevaatlikult
gingerroot,ingverijuur
gingersnap,kivipräänik
gingery,pruunikasoranž
gingiva,igemed
gingivitis,igemepõletik
ginkgo,hõlmikpuu
ginnery,puuvillapuhastustehas
ginning,puuvillapuhastus
ginseng,ženšenn
giraffe,kaelkirjak
gird,vöötama
girder,kandetala
girdle,vöö
girl,tüdruk
girlfriend,tüdruk
girlhood,tüdrukuiga
girlie,plika
girlish,tütarlapselik
girlishly,plikalikult
girn,nägu vingu tõmbama
giro,žiiro
girth,ümbermõõt
gisement,meridiaanide koonduvus
gist,keskne mõte
gisting,üldtõlge
gizmo,riistapuu
gizzard,pugu
git,kõtt
give,andma
give-and-go,palli söötmine
give-and-take,vastutulelikkus
giveaway,väljalobisemine
given,teades
giver,andja
give-up,järeleandmine
givey,soine
glabella,ninajuur
glabrous,paljas
glacé,glasuuritud
glace,jääkuubik
glacially,jääga
glaciate,jäätuma
glaciation,jäätumine
glacier,liustik
glaciologist,glatsioloog
glad,rõõmus
gladden,rõõmustama
glade,välu
gladfulness,rõõm
glad-hand,pingutatud sõbralikkusega kohtama
gladiate,mõõgakujuline
gladiator,gladiaator
gladiatorial,gladiaatorite
gladiolus,gladiool
gladius,leegionärimõõk
gladly,meeleldi
gladness,rõõm
gladsome,rõõmustav
gladstone,kohver
glaireous,munavalge taoline
glamor,veetlus
glamorize,ilustama
glamorous,suurilmalik
glamour,glamuur
glance,pilku heitma
glancing,riivav
gland,nääre
glandula,glandula
glare,altkulmupilk
glaring,kiiskav
glaringly,silmatorkavalt
glary,lõõmav
glasnost,glasnost
glass,klaas
glassblower,klaasipuhuja
glass-blower,klaasipuhuja
glassblowing,klaasipuhumine
glass-blowing,klaasipuhumine
glass-cloth,klaasriie
glass-coated,klaasitud
glassed,klaasseintega ümbritsetud
glasses,prillid
glassful,klaasitäis
glass-glazed,glasuuritud
glasshouse,kasvuhoone
glassine,pärgamiin
glassless,klaasideta
glassmaker,klaasisulataja
glassmaking,klaasisulatus
glassware,klaasnõud
glasswork,klaasese
glassworks,klaasitehas
glassy,klaasjas
glassy-eyed,klaasistunud silmadega
glaze,glasuur
glazer,poleerimisketas
glazing,glasuurimine
glaucoma,glaukoom
glauconite,glaukoniit
glaucous,jahune
gleam,välgatus
gleaming,kumav
gleaner,järelnoppija
gleanings,raashaaval kogutud tarkus
gleba,eospaun
glebe,kirikumaa
glee,lust
gleeful,lustlik
gleefully,lustlikult
gleefulness,lust
gleek,nalja viskama
gleet,haavamäda
glial,gliia
glibly,libekeelselt
glibness,libekeelsus
glib-tongued,libekeelne
glide,liuglema
glider,purilennuk
gliding,purilend
glidingly,liuglevalt
glimmer,helk
glimmering,helkiv
glimmery,helkiv
glimpse,pilguheit
glint,läigatus
glisten,läikima
glistening,läikiv
glisteningly,läikivalt
glister,läige
glistering,sätendav
glitch,tõrge
glitz,väline hiilgus
glitzy,toretsev
glitter,sädelema
glittering,sädelev
glittery,sädelev
gloaming,õhtuhämarus
gloat,kahjurõõmu tundma
gloating,parastamine
gloatingly,parastavalt
global,globaalne
globalization,globaliseerumine
globalize,ülemaailmseks muutma
globally,globaalselt
globe,maakera
globetrotter,maailmarändur
globetrotting,maailmas ringirändamine
globigerina,globigeriin
globin,globiin
globose,kerakujuline
globular,kerakujuline
globularness,ümarus
globule,kuulike
globulin,globuliin
glockenspiel,ksülofon
glogg,glögi
glom,sisse vehkima
gloom,süngus
gloominess,süngus
glooming,sünkpime
gloomy,sünge
glorification,ülistus
glorified,üleskiidetud
glorify,ülistama
glorious,kuulsusrikas
gloriously,kuulsusrikkalt
glory,kuulsus
gloryless,kuulsusetu
gloss,läige
glossary,glossaar
glossematics,glossemaatika
glosseme,glosseem
glossily,läikivalt
glossiness,läige
glossitis,keelepõletik
glossmeter,läikemõõtur
glossolaly,glossolaalia
glossophobia,rääkimishirm
glossy,läikiv
gloze,välja vabandama
glottis,kõri
glottochronological,glotokronoloogiline
glow,hõõguma
glove,sõrmkinnas
gloved,kinnastatud
gloveless,kinnasteta
glower,põrnitsema
glowering,põrnitsev
gloweringly,kurjakuulutavalt
gloves,sõrmkindad
glowing,hõõguv
glowworm,jaaniuss
glucinium,berüllium
glucose,glükoos
glucoside,glükosiit
glue,liim
glued,liimitud
glueing,liimimine
gluepot,liimipott
glue-sniffing,liiminuusutamine
gluey,kleepiv
glueyness,liimitaolisus
glug,vulksuma
glum,pahur
glume,lible
glumly,pahuralt
glumness,tusatuju
glut,üleküllus
glutamine,glutamiin
gluten,liimvaik
gluteus,tuharalihas
glutinous,liimjas
glutition,neelamine
glutted,üleküllastatud
glutton,õgard
gluttonize,õgima
gluttonous,ablas
gluttonously,aplalt
gluttony,aplus
glycemic,glükeemiline
glyceride,glütseriid
glycerine,glütseriin
glycerite,glütseriit
glycerol,glütserool
glycogen,glükogeen
glycol,glükool
glyptal,glüftaal
glyptics,glüptika
glyptography,kivilõige
gnarl,sõlme väänama
gnarled,pahklik
gnarly,pahklik
gnash,krigistama
gnathion,lõuaots
gnathonic,pugejalik
gnaw,närima
gnawer,ürask
gnawing,näriv
gneiss,gneiss
gnome,mäevaim
gnomist,aforismikirjutaja
gnomonic,gnomooniline
gnosiology,gnoseoloogia
gnostic,gnostiline
gnosticism,gnostitsism
gnu,gnuu
gnus,gnuud
go,minema
goad,ergutama
goading,ergutushüüd
go-ahead,tegutsemissignaal
goal,eesmärk
goalkeeper,väravavaht
goalless,väravateta
goalmouth,väravaesine
goalpost,väravapost
go-as-you-please,"teen mis tahan"
goat,kits
goatee,kitsehabe
goateed,kitsehabemega
goatskin,kitsenahk
gobbet,lihakänts
gobelin,gobelään
gobemouche,kõigeuskuja
go-between,vahemees
goblet,pokaal
goblin,goblin
goby,mudil
go-cart,lapsevanker
god,jumal
godchild,ristilaps
goddam,pagana
goddamn,pagana
goddamndest,kuradima
goddamned,kuradi
goddaughter,ristitütar
goddess,jumalanna
go-devil,lohisti
god-fearing,jumalakartlik
godforsaken,hüljatud
godless,jumalakartmatu
godlessness,jumalakartmatus
godlike,jumalik
godliness,vagadus
godly,vaga
godown,kaubaladu
godparent,vader
godparents,ristivanemad
gods,jumalad
godsend,taeva kingitus
godson,ristipoeg
godspeed,õnnelikku reisi
godwottery,iluaiandus
-goer,käija
goer,mineja
goethite,götiit
goetic,kurje vaime esile manav
goety,kurjade vaimude väljakutsumine
gofer,jooksupoiss
goffer,kurrutus
goffered,gofreeritud
goffering,karestamine
go-getter,edasipürgija
goggle,jõllitama
goggle-eyed,punnsilmne
going,minek
going-over,ülevaatus
goings-on,juhtumused
goiter,hõõtsik
go-kart,kart
golconda,kullaauk
gold-bearing,kullasisaldusega
goldbeater,kullassepp
gold-braided,kuldtikandiga
goldbrick,valskus
goldbricking,looderdamine
gold-containing,kulda sisaldav
golddigger,kullakaevur
gold-embroidered,kuldtikandiga
golden,kuldne
goldenrod,kuldkollane
goldfield,kullaväli
goldfish,kuldkala
goldmine,kullakaevandus
goldminer,kullakaevaja
gold-plate,kuldama
gold-plated,kullatud
gold-plating,kuldamine
goldrush,kullapalavik
goldsmith,kullassepp
goldylocks,Kuldkihar
golem,golem
golf,golf
golfer,golfimängija
golfing,golfimäng
goliath,koljat
golliwog,negernukk
golly,jumaluke
golosh,kaloss
goloshes,kalossid
golo-shoe,kaloss
gonad,munand
gondolier,gondoljeer
gone,möödunud
goner,mineja
gonfalon,vimpel
gong,gong
gongoozle,vahtima
gonococcus,gonokokk
gonorrhoea,gonorröa
gonosome,gonosoom
gonzo,ainuomase stiiliga
goo,möks
good,hea
goodby,head aega
good-by,hüvastijätt
goodbye,head aega
good-bye,hüvastijätt
good-for-naught,päevavaras
good-for-nothing,päevavaras
good-hearted,heatahtlik
good-humored,heatujuline
good-humoredness,heatujulisus
good-humouredness,rõõmsameelsus
goodie,tore asi
goodish,üsna hea
good-looking,nägus
goodly,kopsakas
good-natured,heasüdamlik
good-neighbor,heanaaberlik
good-neighbourliness,heanaaberlikkus
goodness,headus
goodnight,head ööd
goods,kaup
good-tempered,rõõmsameelne
good-time,seltskondlik
goodwill,hea tahe
goody,maiuspala
goody-goody,ülipüüdlik
gooey,kleepuv
goof,tobu
goofball,tablett
go-off,loru
goofy,tobe
google,guugeldama
gook,plöga
goon,löömamees
gooseberry,tikker
goosebumps,kananahk
goosecap,ullike
gooseflesh,kananahk
goosefoot,malts
gooseherd,hanesid karjatama
gooselike,loll kui hani
gooseneck,lümmel
goose-pimples,kananahk
gooses,haned
goose-step,paraadsamm
goose-stepping,paraadmarss
goosey,arulage
goosy,arulage
goozle,vahtima
gorbellied,vatsakas
gore,paakunud veri
gorge,mäekuru
gorged,täissöönud
gorgeous,oivaline
gorgeously,oivaliselt
gorget,soomuskrae
gorgonize,paigale naelutama
gorilla,gorilla
gormandize,õgima
gormandizer,ahnitseja
gormless,taipamatu
gory,verine
gosh,jessas
gosling,hanepoeg
go-slow,tööaeglustusstreik
gospel,evangeelium
gospeler,jutlustaja
gossamery,õhkõrn
gossip,keelepeks
gossiper,klatšija
gossiping,keelepeks
gossipmonger,keelepeksja
gossipmongering,keelepeks
gossipy,lobisev
gotcha,vahele jäid
goth,metslane
gothic,gooti
gotta,peaks
gouache,guašš
gouge,õõnespeitel
gouger,petis
goulash,guljašš
goundy,rähmane
gourd,pudelkõrvits
gourmand,õgard
gourmandize,õgima
gourmet,gurmaan
gourmetism,gurmaanlus
gout,podagra
gouter,adranuga
gouty,podagratõbine
govern,valitsema
governability,juhitavus
governable,juhitav
governably,juhitavalt
governance,juhtkond
governess,guvernant
governing,valitsev
government,valitsus
governmentally,valitsuse poolt
government-in-exile,eksiilvalitsus
government-owned,riiklikus omanduses olev
governor,kuberner
gowk,tola
grab,haarama
grabber,ahnepäits
grabbing,haarav
grabby,ahnitsev
graben,alang
grace,arm
graceful,sujuv
gracefully,graatsiliselt
gracefulness,graatsia
graceless,kohmakas
gracelessly,kohmakalt
gracelessness,taktitus
gracile,graatsiline
gracility,sujuvus
gracious,lahke
graciously,graatsiliselt
graciousness,kombekus
grad,diplomeeritud
gradation,gradatsioon
gradationally,astmeliselt
gradations,üleminekud
gradatory,astmeline
-grade,sorti
grade,klass
graded,sorteeritud
grader,teehöövel
gradgrind,fantaasiavaene bürokraat
gradient,gradient
gradin,tõusev istmerida
grading,hindamine
gradiometer,gradiomeeter
gradual,järkjärguline
gradually,järk-järgult
gradualness,astmelisus
graduand,ülikooli lõpetaja
graduated,gradueeritud
graffiti,grafiti
graffito,grafiito
graft,pookima
grafter,altkäemaksuandja
grafting,pookimine
grain,teravili
grained,teraline
grainer,granulaator
grainfield,viljaväli
graininess,teralisus
graining,granuleerimine
grainy,teraline
gram,gramm
graminivorous,rohusööja
grammar,grammatika
grammarian,grammatik
grammatical,grammatiline
grammatically,grammatiliselt
grammaticalness,grammatilisus
grammaticaster,tähenärija
grammatolatry,sõnade jumaldamine
gramophone,grammofon
gramps,vanaisa
gran,vanaema
granadilla,granadill
granary,ait
grand,suur
grandaunt,vanatädi
grandchild,lapselaps
grandchildren,lapselapsed
granddad,vanaisa
granddaddy,vanaisa
granddaughter,lapselaps
grandeur,suursugusus
grandiloquence,ülespuhutus
grandiloquent,ilukõneline
grandiloquently,suuresõnaliselt
grandiose,suurejooneline
grandiosely,grandioosselt
grandiosity,suurejoonelisus
grandisonant,tähtsakõlaline
grandly,suurelt
grandma,vanaema
grandness,suurejoonelisus
grandpa,vanaisa
grandparent,vanavanem
grandparents,vanavanemad
grandson,pojapoeg
grandstand,tribüün
granduncle,vanaonu
grange,talumajapidamine
granger,põllumees
grangerize,pilte välja lõikama
granite,graniit
granitic,kivikõva
granitization,graniidistumine
granitoid,granitoid
grannie,vanaema
granny,vanaema
granodiorite,granidoriit
granolite,granoliit
granted,tagatud
grantee,abiraha saaja
grant-in-aid,toetus
granting,lubav
grantor,andja
granular,teraline
granularity,teralisus
granulate,granuleerima
granulation,granuleerimine
granulator,granulaator
granule,graanul
granules,graanulid
granulite,granuliit
granulitization,granuliidistumine
granulocyte,granulotsüüt
granuloma,granuloom
grape,viinamari
grapefruit,greip
grapes,viinamarjad
grapeshot,kartetš
grapevine,viinamarjaväät
grapey,viinamarjamaitseline
graph,graafik
grapheme,grafeem
graphic,graafiline
graphical,graafiline
graphically,graafiliselt
graphics,graafika
graphite,grafiit
graphitization,grafitisatsioon
graphologist,grafoloog
graphospasm,kirjutamiskramp
grapnel,tragi
grapple,haarats
grappler,haardekonks
grappling,maadlus
grasp,haare
graspable,haaratav
grasping,ahne
grass,rohi
grass-blade,murulible
grass-covered,rohuga kaetud
grasscutter,muruniiduk
grass-eater,rohusööja
grass-eating,rohusööja
grassfire,rohutulekahju
grasshopper,rohutirts
grassing,murul pleegitamine
grassland,rohumaa
grassless,paljas
grassroots,lihtrahvas
grass-snake,nastik
grass-widow,lahutatud naine
grass-widower,lahutatud mees
grassy,rohtukasvanud
graze,kriimustama
grazed,kriimustatud
grazier,karjapidaja
grazing,mäletsemine
grate,rest
grateful,tänulik
gratefully,tänulikult
gratefulness,tänulikkus
gratification,rahuldus
gratified,rahuldatud
gratifying,rahuldust pakkuv
grating,võre
gratingly,kriipivalt
gratis,tasuta
gratitude,tänu
gratuitous,asjatu
gratuitously,põhjuseta
gratuity,jootraha
graupel,teraline lumi
graustark,romantiline romaan
gravamen,kahjutasunõue
grave,haud
gravecloth,surilina
gravedigger,hauakaevaja
gravel,kruus
gravelly,kruusane
gravel-pit,kruusakarjäär
gravely,tõsiselt
graven,graveeritud
graveness,tõsidus
graveolent,roiskunud lõhnaga
graver,graveernõel
graverobber,hauaröövel
graverobbing,hauarööv
gravestone,hauakivi
graveyard,surnuaed
gravidity,graviidsus
gravidness,graviidsus
gravimeter,gravimeeter
graving,graveerimine
gravisphere,gravisfäär
gravitas,ülitõsidus
gravitate,langema
gravitation,gravitatsioon
gravitational,gravitatsiooniline
gravitationally,gravitatsiooniliselt
gravitative,gravitatsiooniline
gravity,gravitatsioon
gravlax,soolalõhe
gravure,gravüür
gravy,lihakaste
graycoat,roostetõrjepasta
gray-haired,hallipäine
gray-headed,hallipäine
grayish,hallikas
grayish-brown,hallikaspruun
grayly,hallikalt
graywacke,grauvakk
grease,rasv
greased,õlitatud
greasepaint,grimm
grease-proof,rasvakindel
greaseproof,rasvakindel
greasily,rasvaselt
greasiness,rasvasus
greasing,määrimine
greasy,rasvane
great,suur
great-aunt,vanatädi
great-bellied,suure kõhuga
greatcoat,mantel
greater,suurem
greatest,suurim
great-grandchild,lapselapselaps
great-grandparent,vanavanavanem
great-grandson,lapselapselaps
greatly,suuresti
greatness,suurus
greats,suurkujud
great-souled,suurehingeline
great-uncle,vanaonu
greave,sääris
grebes,pütlased
greed,ahnus
greedily,aplalt
greediness,ahnus
greedy,ahne
green,roheline
greenback,paberraha
green-blind,värvipime
greenery,rohelus
green-eyed,kiivas
greenfly,lehetäi
greengrocer,aedviljamüüja
greengroceries,aedviljad
greengrocer's,juur- ja puuviljapood
greenhorn,kollanokk
greenhouse,kasvuhoone
greening,lehteminek
greenish,rohekas
greenish-blue,rohekassinine
greenishness,rohekus
greenish-yellow,rohekaskollane
greenly,roheliselt
greenmail,ülesostjalt firma väljalunastamine
greenness,rohelus
greenroom,näitlejate üldruumid
greens,aedvili
greensand,märgvormisegu
greenschist,rohekilt
greensickness,rauapuudulikkus
greenside,griiniäärne
greenskeeper,golfiväljaku hooldaja
greenstone,rohekivim
greensward,murukoorik
greenway,roheline vöönd
greenwood,lehtmets
greet,tervitama
greeted,vastu võetud
greeting,tervitus
greetings,tervitused
gregatim,parves
greige,viimistlemata
greisen,greisen
grenade,granaat
grenadier,grenader
grenadilla,grenadill
grey,hall
grey-headed,hallipäine
greyhound,inglise hurt
greyish,hallikas
greyness,hallus
grid,võrgustik
griddle,küpsetusplaat
griddlecake,plaadikook
gridiron,röstimisrest
grief,kahetsusvalu
grief-stricken,murest murtud
grievance,kaebus
grieve,kurvastama
griever,leinaja
grieving,kahetsusvalu
grievous,ränk
grievously,raskelt
griffin,greif
griffon,kaeluskotkas
grift,sohivõit
grifter,sohitegija
grig,tirts
grill,grill
grille,iluvõre
grilled,grillitud
grilling,grillimine
grillwork,röstimisrest
grim,sünge
grimace,grimass
grimalkin,moor
grime,tahm
grimgribber,erialasläng
griminess,räpasus
grimly,süngelt
grimness,eemaletõukavus
grimoire,loitsuraamat
grimy,räpane
grin,naeratus
grinagog,inimene kohtlase irvega
grind,jahvatama
grinded,lihvitud
grinder,peenesti
grinding,jahvatamine
grindstone,käiakivi
gringo,gringo
griot,pärimusevestja
grip,haare
gripe,nurisema
grippe,gripp
gripper,haarats
gripping,haarav
grippy,gripis
gripsack,käekott
grisliness,õõvastavus
grisly,õudne
grist,jahvatis
gristle,krõmpsluu
gristly,kõhrjas
gristmill,viljaveski
grizzle,virisema
grizzly,grisli
grit,peenkruus
grith,varjupaik
grithbreach,rahurikkumine
grits,tangud
gritstone,kivipuru
gritter,killustikulaotur
gritty,sõmer
grivna,grivna
groan,oigama
groaning,oigav
groat,tang
groats,tangud
grocer,vürtspoodnik
groceries,toidukaubad
grocer's,toidupood
grocery,toidupood
groggily,uimaselt
grogginess,uim
groggy,uimane
grognard,vana sõdur
groin,kube
grok,grokkima
grommet,lüüvers
groom,peigmees
groomed,hoolitsetud
grooming,hooldamine
groomsman,isamees
groove,soon
grooved,sooniline
grooveless,soonteta
grooving,soonimine
groovy,kihvt
grope,kobama
groping,kobav
gropingly,kobavalt
gross,lihav
gross-bodied,lihava kerega
gross-featured,tahumatu
grossly,jämedalt
grotesque,groteskne
grotesquely,groteskselt
grotesqueness,ebaloomulikkus
grotesquery,grotesksus
grotto,grott
grotty,vastik
grouch,nurisema
grouchy,pahur
ground,maa
groundage,sadamamaks
ground-based,paigalseisev
groundbreaking,nurgakivi panemine
grounded,maandatud
ground-floor,alumise korruse
groundhog,metsümiseja
grounding,maandus
groundless,alusetu
groundlessly,alusetult
groundling,seisukohaga vaataja
groundmass,põhimass
ground-nut,maapähkel
groundnut,maapähkel
ground-plan,põhiplaan
groundplot,ruleerimisarvestus
ground-rent,maarent
grounds,alus
groundsel,tugisammas
groundsheet,presentalus
groundskeeper,pargivaht
groundsman,pargivaht
groundswell,jõuline arvamusavaldus
groundwater,põhjavesi
groundwork,alus
group,rühm
grouped,rühmitatud
groupie,groupie
grouping,rühmitamine
groupthink,rühmaarutelu
groupware,rühmatarkvara
grouse,metsis
grouser,nuriseja
grout,mört
grow,kasvama
growable,kasvatatav
grove,salu
grovel,lömitama
groveling,lömitav
groveller,lömitaja
grovelling,lömitav
grower,kasvataja
growing,kasvav
growl,urisema
growler,uriseja
growlery,omaette porisemise koht
growling,urin
grown,täiskasvanud
grownup,täiskasvanu
grown-up,täiskasvanu
growth,kasv
grub,ninaesine
grubbiness,kasimatus
grubby,kasimatu
grubstake,stardikapitali andmine tulevase kasumi lootuses
grudge,vimm
grudging,vastumeelne
grudgingly,vastu tahtmist
grue,siheline
gruel,kört
gruesome,õudne
gruesomely,kohutavalt
gruesomeness,jubedus
gruff,torisev
gruffly,pahuralt
gruffness,turtsakus
grufted,määrdunud
grumble,torin
grumbler,toriseja
grumbling,torisev
grumblingly,torinal
grumous,hüübinud
grump,turtsakas
grumpily,tõredalt
grumpiness,tõredus
grumpy,torisev
grungy,räpane
grunt,röhatus
grunting,röhkiv
gruntle,tuju tõstma
grylle,krüüsel
guaiacol,guajakool
guarantee,garanteerima
guaranteed,kindel
guarantor,garant
guaranty,tagatis
guard,valvur
guardant,otsevaates
guarded,valve all
guardedly,vaoshoitult
guardhouse,vahtkonnamaja
guardian,kaitsja
guardianless,kaitsjata
guardianship,eestkoste
guarding,kaitse
guard-rail,käsipuu
guardrails,kaitsepiirded
guardroom,vahtkonnaruum
guard-ship,valvelaev
guardsman,kaardiväelane
gubbins,asjandus
guck,möks
gudgeon,telg
gudun,gurjun
guerdon,tasu
gueridon,ehislauake
guerrilla,siss
guess,ära arvama
guessing,oletus
guessingly,ära arvata püüdvalt
guesstimate,umbkaudu hindama
guesswork,mõistatamine
guest,külaline
guestbook,külalisraamat
guesthouse,võõrastemaja
guff,lora
guffaw,naerda hirnuma
guggle,kulistama
guidance,juhtimine
guide,teejuht
guided,juhitav
guide-dog,juhtkoer
guideline,juhis
guidelines,juhtnöörid
guide-post,teeviit
guidepost,teeviit
guiding,suunav
guiding-mark,orientiir
guidon,ratsaväestandart
guignol,hirmutis
guild,gild
guilder,kulden
guild-hall,gildisaal
guildhall,gildisaal
guile,salakavalus
guileful,salakaval
guileless,siiras
guilelessly,otsekoheselt
guilelessness,sirgjoonelisus
guillemot,tirk
guilloche,giljošš
guillotine,giljotiin
guillotining,giljotineerimine
guilt,süü
guilt-feelings,süütunne
guiltily,süüdlaslikult
guiltiness,süüdiolek
guiltless,süütu
guiltlessness,süütus
guilty,süüdlaslik
guinea,gini
guinea-fowl,pärlkana
guinea-hen,pärlkana
guipure,gipüür
guise,maskeering
guitar,kitarr
guitarist,kitarrist
gula,aplus
gulch,kitsas jõeorg
gulden,kulden
gules,punane
gulf,laht
gulf-weed,sargasso adru
gullet,söögitoru
gulley,erosioonilõhe
gullibility,kergeusklikkus
gullible,kergeusklik
gully,uhteorg
gullyhole,kanalisatsioonikaev
gulosity,aplus
gulp,neelatama
gulping,kulinal joomine
gum,kummi
gumbo,okra
gumboil,igememädanik
gumboot,kummik
gumboots,kummikud
gumdrop,nätsukomm
gum-lac,kummivaiklakk
gumma,gumma
gummed,kleebitud
gumminess,kleepuvus
gummosis,gummoos
gummy,kleepuv
gump,idikas
gumption,tragidus
gumptious,tragi
gumshield,suukaitse
gumshoe,kaloss
gun,relv
gunbarrel,püssitoru
gunboat,kahuripaat
gun-but,püssikaba
guncotton,püroksüliin
gundog,jahikoer
gundygut,õgard
gunfight,tulistamine
gunfire,püssituli
gunk,möks
gunkhole,vetikane lahesopp
gunlock,püssilukk
gunman,püssimees
gun-metal,suurtükipronks
gunner,pardalaskur
gunnery,relvad
gunnies,tühjakskaevandatud ala
gunplay,tulevahetus
gunpoint,püssitoru
gunpowder,püssirohi
gunrack,püssihoidik
gunroom,nooremohvitseride tuba
gunrunner,relvakaupmees
gunshot,lask
gun-shy,pauku kartev
gunsight,sihik
gunslinger,püstolikangelane
gunsmith,relvameister
gunstock,laad
gunwale,pardapuu
gurgitate,mulksuma
gurgle,korisema
gurgling,korin
gurney,ratastega kanderaam
gurry,rapped
guru,guru
gush,purse
gusher,naftapurskkaev
gushing,purskav
gushingly,ülevoolavalt
gushy,ülevoolav
gusset,siil
gusseted,siiludega tugevdatud
gussied,ehitud
gust,iil
gustation,maitsemeel
gustily,iilidena
gustiness,puhangulisus
gusto,nauding
gusty,puhanguline
guzzle,ahnelt jooma
guzzler,õllekõri
gutless,maotu
gut-rumbling,kõhukorin
guts,sisikond
gutsiness,söakus
gutsy,söakas
guttapercha,gutapertš
guttated,tähniline
gutter,katuserenn
guttering,hubisev
gutters,veeruvahe
guttersnipe,tänavalaps
guttle,vitsutama
guttural,kurguhäälne
guy,poiss
gybe,halss
gym,võimla
gymkhana,võidukihutamine
gymnasium,võimla
gymnast,iluvõimleja
gymnastics,võimlemine
gymnosophist,gümnosofist
gymnosperm,paljasseemnetaim
gymnospermous,paljasseemneline
gynaeceum,günetseum
gynaecological,günekoloogiline
gynaecologist,günekoloog
gynaecology,günekoloogia
gynaeocracy,naistevalitsus
gynaeolatry,naistekummardamine
gynandromorphic,mõlema soo tunnustega
gynecocracy,naiste valitsus
gynecological,günekoloogiline
gynecologist,günekoloog
gynecology,günekoloogia
gynephobia,naistehirm
gynophobia,naistekartus
gyp,pettus
gypped,alt veetud
gypsum,kips
gypsy,mustlane
gyrate,pöörlema
gyration,pöörlemine
gyrator,güraator
gyre,keeris
gyro,güroskoop
gyrocompass,gürokompass
gyrodyne,gürodüün
gyrograph,pöördeloendur
gyrometer,güromeeter
gyropilot,automaatrool
gyroplane,autožiiro
gyroscope,güroskoop
gyroscopic,güroskoopiline
gyrostat,güroskoop
gyrovague,rändmunk
gyrus,ajukurd
gyttja,järvemuda
gyve,aheldama
h,h
ha,ahhaa
habanera,habaneera
haberdasher,pudupoodnik
haberdashery,pudukaubad
habergeon,soomusvest
habilatory,riiteuse
habiliment,rüü
habilimented,uhkes rõivastuses
habiliments,ametiriietus
habit,harjumus
habitability,elamiskõlblikkus
habitable,elamiskõlblik
habitant,asukas
habitat,elupaik
habitation,elamine
habited,vaimulikurüüd kandev
habit-forming,sõltuvust tekitav
habits,harjumused
habitual,paadunud
habitually,tavapäraselt
habituation,kohanemine
habitude,tava
habitue,püsikülastaja
hacienda,hacienda
hack,hakkima
hackamore,ratsmed
hackdriver,taksojuht
hacker,häkker
hacking,häkkimine
hackle,suga
hackles,suled
hackling,sugemine
hackmatack,pappel
hackney,veohobune
hackneyed,kulunud
hacksaw,rauasaag
hackwork,tellimustöö
haddock,kilttursk
hade,kaldenurk
hadrosaur,hadrosaurus
haecceity,haecceitas
haematogenesis,hematogenees
haematology,hematoloogia
haemodialysis,hemodialüüs
haemoglobin,hemoglobiin
haemophilia,hemofiilia
haemorrhage,veritsus
haemorrhoids,hemorroidid
haemostat,veretõkesti
haff,laguun
haft,vars
hag,vanamoor
haggard,otsajäänud
haggle,tingima
haggling,tingimine
hagiocracy,hagiokraatia, pühakute valitsus
hagiolatry,pühakukummardamine
hagiology,pühakute elulood
hagiophobia,pühakuhirm
hagridden,vaevatud
hag-ridden,vaevatud
haha,kraavtõke
ha-ha,ha-ha-haa
